temperature,density,dynamicViscosity,kinematicViscosity
-20,1.3958,1.6222,1.1622
-15,1.3687,1.6478,1.2039
-10,1.3426,1.6731,1.2462
-5,1.3175,1.6982,1.2890
0,1.2933,1.7231,1.3324
5,1.2699,1.7478,1.3763
10,1.2474,1.7722,1.4207
15,1.2257,1.7965,1.4657
20,1.2047,1.8205,1.5111
25,1.1845,1.8444,1.5571
30,1.1649,1.8680,1.6036
35,1.1459,1.8915,1.6507
40,1.1275,1.9148,1.6982
45,1.1098,1.9379,1.7462
50,1.0925,1.9608,1.7947
55,1.0759,1.9835,1.8437
60,1.0597,2.1961,1.8931
65,1.0439,2.0285,1.9431
70,1.0287,2.0507,1.9935
75,1.0139,2.0728,2.0444
80,99.948,2.0947,2.0958
85,98.549,2.1164,2.1476
90,97.188,2.1380,2.1999
95,95.865,2.1595,2.2526
100,94.577,2.1808,2.3058
105,93.323,2.2019,2.3594
110,92.102,2.2229,2.4135
115,90.913,2.2438,2.4681
120,89.754,2.2645,2.5230
125,88.624,2.2851,2.5784